UF;cod_ibge;nome_mun;IDHM2000;IDHM2010
11;110001;ALTA FLORESTA D'OESTE;0,483;0,641
11;110002;ARIQUEMES;0,556;0,702
11;110003;CABIXI;0,488;0,65
11;110004;CACOAL;0,567;0,718
11;110005;CEREJEIRAS;0,542;0,692
11;110006;COLORADO DO OESTE;0,545;0,685
11;110007;CORUMBIARA;0,401;0,613
11;110008;COSTA MARQUES;0,486;0,611
11;110009;ESPIGÃO D'OESTE;0,501;0,672
11;110010;GUAJARÁ-MIRIM;0,573;0,657
11;110011;JARU;0,514;0,689
11;110012;JI-PARANÁ;0,564;0,714
11;110013;MACHADINHO D'OESTE;0,449;0,596
11;110014;NOVA BRASILÂNDIA D'OESTE;0,459;0,643
11;110015;OURO PRETO DO OESTE;0,533;0,682
11;110018;PIMENTA BUENO;0,573;0,71
11;110020;PORTO VELHO;0,613;0,736
11;110025;PRESIDENTE MÉDICI;0,485;0,664
11;110026;RIO CRESPO;0,441;0,643
11;110028;ROLIM DE MOURA;0,559;0,7
11;110029;SANTA LUZIA D'OESTE;0,482;0,67
11;110030;VILHENA;0,62;0,731
11;110032;SÃO MIGUEL DO GUAPORÉ;0,409;0,646
11;110033;NOVA MAMORÉ;0,446;0,587
11;110034;ALVORADA D'OESTE;0,469;0,643
11;110037;ALTO ALEGRE DOS PARECIS;0,402;0,592
11;110040;ALTO PARAÍSO;0,446;0,625
11;110045;BURITIS;0,415;0,616
11;110050;NOVO HORIZONTE DO OESTE;0,442;0,634
11;110060;CACAULÂNDIA;0,454;0,646
11;110070;CAMPO NOVO DE RONDÔNIA;0,432;0,593
11;110080;CANDEIAS DO JAMARI;0,478;0,649
11;110090;CASTANHEIRAS;0,498;0,658
11;110092;CHUPINGUAIA;0,479;0,652
11;110094;CUJUBIM;0,425;0,612
11;110100;GOVERNADOR JORGE TEIXEIRA;0,38;0,596
11;110110;ITAPUÃ DO OESTE;0,478;0,614
11;110120;MINISTRO ANDREAZZA;0,467;0,638
11;110130;MIRANTE DA SERRA;0,47;0,643
11;110140;MONTE NEGRO;0,435;0,607
11;110143;NOVA UNIÃO;0,405;0,587
11;110145;PARECIS;0,412;0,617
11;110146;PIMENTEIRAS DO OESTE;0,524;0,665
11;110147;PRIMAVERA DE RONDÔNIA;0,439;0,641
11;110148;SÃO FELIPE D'OESTE;0,466;0,649
11;110149;SÃO FRANCISCO DO GUAPORÉ;0,434;0,611
