cod_ibge;nome_mun;mortes_cancer_2016;mortes_total_2016
110001;Alta Floresta D'Oeste;19;109
110037;Alto Alegre dos Parecis;8;45
110040;Alto Paraíso;7;70
110034;Alvorada D'Oeste;8;96
110002;Ariquemes;69;510
110045;Buritis;20;168
110003;Cabixi;3;24
110060;Cacaulândia;4;27
110004;Cacoal;101;485
110070;Campo Novo de Rondônia;2;40
110080;Candeias do Jamari;10;108
110090;Castanheiras;4;20
110005;Cerejeiras;20;112
110092;Chupinguaia;1;39
110006;Colorado do Oeste;18;108
110007;Corumbiara;3;38
110008;Costa Marques;5;53
110094;Cujubim;7;49
110009;Espigão D'Oeste;23;155
110100;Governador Jorge Teixeira;3;42
110010;Guajará-Mirim;29;211
110110;Itapuã do Oeste;5;36
110011;Jaru;30;259
110012;Ji-Paraná;97;665
110013;Machadinho D'Oeste;21;152
110120;Ministro Andreazza;3;49
110130;Mirante da Serra;4;52
110140;Monte Negro;7;54
110014;Nova Brasilândia D'Oeste;13;97
110033;Nova Mamoré;11;110
110143;Nova União;4;35
110050;Novo Horizonte do Oeste;10;45
110015;Ouro Preto do Oeste;31;233
110145;Parecis;-;12
110018;Pimenta Bueno;35;209
110146;Pimenteiras do Oeste;3;15
110020;Porto Velho;419;2398
110025;Presidente Médici;19;125
110147;Primavera de Rondônia;1;13
110026;Rio Crespo;2;21
110028;Rolim de Moura;48;292
110029;Santa Luzia D'Oeste;6;41
110148;São Felipe D'Oeste;4;24
110149;São Francisco do Guaporé;5;52
110032;São Miguel do Guaporé;21;106
110150;Seringueiras;3;41
110155;Teixeirópolis;4;25
110160;Theobroma;5;39
110170;Urupá;10;53
110175;Vale do Anari;6;50
110180;Vale do Paraíso;11;52
110030;Vilhena;64;448
120001;Acrelândia;4;51
120005;Assis Brasil;1;53
120010;Brasiléia;19;121
120013;Bujari;5;52
120017;Capixaba;5;40
120020;Cruzeiro do Sul;57;365
120025;Epitaciolândia;7;72
120030;Feijó;16;137
120032;Jordão;1;21
120033;Mâncio Lima;7;73
120034;Manoel Urbano;5;40
120035;Marechal Thaumaturgo;4;40
120038;Plácido de Castro;6;84
120080;Porto Acre;8;85
120039;Porto Walter;3;24
120040;Rio Branco;292;1918
120042;Rodrigues Alves;4;39
120043;Santa Rosa do Purus;3;22
120050;Sena Madureira;17;152
120045;Senador Guiomard;13;99
120060;Tarauacá;18;181
120070;Xapuri;13;89
130002;Alvarães;3;42
130006;Amaturá;7;28
130008;Anamã;3;31
130010;Anori;4;42
130014;Apuí;7;60
